n,q,t,beta,seed,n_q,n_GSA,n_1,delta_rate,H
120,127,90,20,1,23,92,5,0.030672,2.022331
120,127,90,20,4,23,93,4,0.030640,1.994665
120,127,90,20,0,22,94,4,0.030020,2.022331
120,127,90,20,5,23,91,6,0.030711,2.049464
120,127,90,20,2,23,91,6,0.030711,2.049464
120,127,90,20,3,22,95,3,0.029995,1.994665
120,127,90,20,6,23,91,6,0.030711,2.049464
120,127,90,20,7,23,92,5,0.030672,2.022331
120,127,90,20,8,23,93,4,0.030640,1.994665
120,127,90,20,9,23,91,6,0.030711,2.049464
120,127,60,20,0,0,79,41,0.045421,1.255900
120,127,60,20,1,0,81,39,0.044854,1.211047
120,127,60,20,2,0,80,40,0.045132,1.233613
120,127,60,20,6,0,80,40,0.045132,1.233613
120,127,60,20,3,0,80,40,0.045132,1.233613
120,127,60,20,7,0,82,38,0.044585,1.188197
120,127,60,20,5,0,81,39,0.044854,1.211047
120,127,60,20,4,0,80,40,0.045132,1.233613
120,127,60,20,9,0,80,40,0.045132,1.233613
120,127,60,20,8,0,80,40,0.045132,1.233613
120,1031,60,20,1,0,47,73,0.091313,2.646562
120,1031,90,20,0,6,109,5,0.031827,3.469142
120,1031,90,20,1,6,107,7,0.031890,3.526013
120,1031,60,20,0,0,48,72,0.089874,2.624325
120,1031,60,20,2,0,48,72,0.089874,2.624325
120,1031,60,20,3,0,47,73,0.091313,2.646562
120,1031,90,20,3,5,113,2,0.031221,3.410343
120,1031,90,20,2,5,115,0,0.031207,3.349517
120,1031,90,20,4,5,109,6,0.031305,3.526013
120,1031,90,20,7,6,107,7,0.031890,3.526013
120,1031,90,20,8,6,108,6,0.031856,3.497813
120,1031,90,20,5,6,106,8,0.031930,3.553755
120,1031,90,20,6,5,115,0,0.031207,3.349517
120,1031,90,20,9,5,110,5,0.031277,3.497813
120,1031,60,20,4,0,47,73,0.091313,2.646562
120,1031,60,20,6,0,47,73,0.091313,2.646562
120,1031,60,20,8,0,48,72,0.089874,2.624325
120,1031,60,20,5,0,47,73,0.091313,2.646562
120,1031,60,20,9,0,48,72,0.089874,2.624325
120,1031,60,20,7,0,47,73,0.091313,2.646562
320,13,160,2,0,113,94,113,0.027202,0.007990
320,13,160,2,2,117,86,117,0.029732,0.007990
320,13,160,2,1,114,93,113,0.027580,0.000000
320,13,160,2,3,111,98,111,0.026091,0.007990
320,13,240,2,0,205,71,44,0.036126,0.000000
320,13,240,2,1,212,57,51,0.044999,0.000000
320,13,240,2,3,208,65,47,0.039461,0.000000
320,13,240,2,4,217,47,56,0.054573,0.000000
320,13,160,2,5,143,35,142,0.073284,0.000000
320,13,240,2,2,206,69,45,0.037173,0.000000
320,13,240,2,5,208,64,48,0.039828,0.015931
320,13,240,2,7,205,71,44,0.036126,0.000000
320,13,240,2,8,215,50,55,0.050980,0.015931
320,13,160,2,4,111,98,111,0.026091,0.007990
320,13,160,2,9,119,83,118,0.030903,0.000000
320,13,240,2,6,208,65,47,0.039461,0.000000
320,13,240,2,9,207,66,47,0.038621,0.015931
320,13,160,2,8,113,94,113,0.027202,0.007990
320,13,160,2,6,125,71,124,0.036126,0.000000
320,13,160,2,7,120,80,120,0.031962,0.007990
320,31,160,2,2,159,2,159,1.711645,0.010698
320,31,160,2,0,113,94,113,0.036418,0.010698
320,31,160,2,4,114,92,114,0.037210,0.010698
320,31,160,2,3,112,97,111,0.035402,0.000000
320,31,160,2,6,117,87,116,0.039471,0.000000
320,31,160,2,1,114,93,113,0.036925,0.000000
320,31,160,2,5,111,98,111,0.034932,0.010698
320,31,160,2,9,121,78,121,0.043888,0.010698
320,31,160,2,8,113,94,113,0.036418,0.010698
320,31,160,2,7,149,23,148,0.149304,0.000000
320,31,240,2,9,203,75,42,0.045786,0.000000
320,31,240,2,2,196,89,35,0.038584,0.000000
320,31,240,2,1,201,78,41,0.043752,0.021329
320,31,240,2,3,202,77,41,0.044597,0.000000
320,31,240,2,4,200,81,39,0.042395,0.000000
320,31,240,2,0,198,84,38,0.040627,0.021329
320,31,240,2,8,202,77,41,0.044597,0.000000
320,31,240,2,5,200,80,40,0.042658,0.021329
320,31,240,2,6,201,78,41,0.043752,0.021329
320,31,240,2,7,197,86,37,0.039682,0.021329
320,127,160,2,1,101,118,101,0.040925,0.015089
320,127,160,2,2,151,19,150,0.254957,0.000000
320,127,160,2,8,106,109,105,0.044442,0.000000
320,127,160,2,6,135,51,134,0.094984,0.000001
320,127,160,2,4,114,92,114,0.052490,0.015091
320,127,160,2,0,154,12,154,0.402425,0.015091
320,127,160,2,5,114,93,113,0.052088,0.000000
320,127,160,2,7,150,20,150,0.241455,0.015091
320,127,160,2,9,106,108,106,0.044714,0.015091
320,127,160,2,3,116,89,115,0.054429,0.000000
320,127,240,2,2,196,89,35,0.054429,0.000000
320,127,240,2,4,184,113,23,0.042869,0.000000
320,127,240,2,0,201,78,41,0.061719,0.030088
320,127,240,2,1,188,105,27,0.046135,0.000000
320,127,240,2,5,193,94,33,0.051214,0.030088
320,127,240,2,9,186,109,25,0.044442,0.000000
320,127,240,2,8,184,113,23,0.042869,0.000000
320,127,240,2,3,184,112,24,0.042983,0.030088
320,127,240,2,6,186,108,26,0.044575,0.030088
320,127,240,2,7,192,96,32,0.050147,0.030088
256,13,128,2,0,90,76,90,0.033618,0.009980
256,13,128,2,3,91,75,90,0.034199,0.000000
256,13,128,2,1,98,61,97,0.042048,0.000000
256,13,128,2,2,104,49,103,0.052346,0.000000
256,13,128,2,4,95,67,94,0.038283,0.000000
256,13,128,2,5,99,58,99,0.044051,0.009980
256,13,128,2,6,99,58,99,0.044051,0.009980
256,13,128,2,7,104,48,104,0.053229,0.009980
256,13,128,2,8,99,59,98,0.043474,0.000000
256,13,192,2,0,174,36,46,0.070696,0.019883
256,13,128,2,9,121,14,121,0.182498,0.009980
256,13,192,2,1,176,33,47,0.077726,0.000000
256,13,192,2,2,191,3,62,0.854983,0.000000
256,13,192,2,4,165,55,36,0.046635,0.000000
256,13,192,2,5,191,3,62,0.854983,0.000000
256,13,192,2,3,182,21,53,0.122140,0.000000
320,1031,160,2,6,87,147,86,0.047195,0.000618
256,13,192,2,6,165,54,37,0.047131,0.019883
256,13,192,2,7,189,6,61,0.424178,0.019883
256,13,192,2,8,187,10,59,0.254507,0.019883
256,13,192,2,9,190,4,62,0.636267,0.019883
320,1031,160,2,4,148,25,147,0.277525,0.000162
256,31,128,2,1,86,84,86,0.040722,0.013362
256,31,128,2,0,85,87,84,0.039471,0.000000
256,31,128,2,3,90,76,90,0.045008,0.013362
256,31,128,2,2,90,76,90,0.045008,0.013362
256,31,128,2,4,83,90,83,0.038007,0.013362
256,31,128,2,5,85,87,84,0.039471,0.000000
256,31,128,2,7,90,76,90,0.045008,0.013362
256,31,128,2,6,88,81,87,0.042395,0.000000
320,1031,240,2,1,163,148,9,0.044915,0.290826
320,1031,160,2,0,160,1,159,6.938191,0.000094
256,31,128,2,8,84,89,83,0.038584,0.000000
256,31,128,2,9,93,71,92,0.048366,0.000000
256,31,192,2,0,150,84,22,0.040564,0.026620
256,31,192,2,1,162,61,33,0.056295,0.000000
256,31,192,2,2,157,71,28,0.048366,0.000000
256,31,192,2,3,161,62,33,0.054958,0.026620
256,31,192,2,4,158,69,29,0.049768,0.000000
320,1031,160,2,3,79,163,78,0.042562,0.000741
256,31,192,2,5,154,77,25,0.044597,0.000000
256,31,192,2,6,152,80,24,0.042592,0.026620
256,31,192,2,7,157,71,28,0.048366,0.000000
256,31,192,2,8,153,78,25,0.043684,0.026620
256,31,192,2,9,151,83,22,0.041373,0.000000
320,1031,240,2,3,161,153,6,0.043709,0.250781
320,1031,240,2,5,161,149,10,0.043827,0.408134
320,1031,240,2,2,161,159,0,0.043637,0.000000
320,1031,160,2,7,111,98,111,0.070598,0.019664
256,127,128,2,1,114,29,113,0.167041,0.000000
256,127,128,2,0,71,115,70,0.042123,0.000000
320,1031,240,2,4,161,150,9,0.043792,0.369494
256,127,128,2,2,106,45,105,0.107649,0.000000
320,1031,240,2,0,159,150,11,0.042779,0.521374
256,127,128,2,6,114,28,114,0.172334,0.018849
256,127,128,2,4,73,110,73,0.043867,0.018849
256,127,128,2,3,97,63,96,0.076892,0.000000
256,127,128,2,7,100,57,99,0.084986,0.000000
256,127,128,2,5,77,102,77,0.047307,0.018849
256,127,192,2,0,140,105,11,0.046135,0.000000
256,127,128,2,8,114,28,114,0.172334,0.018849
256,127,128,2,9,105,47,104,0.103068,0.000000
256,127,192,2,1,136,111,9,0.042970,0.074526
320,1031,240,2,6,162,155,3,0.044210,0.085658
320,1031,240,2,7,164,151,5,0.045382,0.085658
256,127,192,2,4,137,110,9,0.043697,0.037552
256,127,192,2,2,134,112,10,0.041626,0.182112
256,127,192,2,3,138,107,11,0.044576,0.074526
256,127,192,2,5,138,105,13,0.044737,0.146794
320,1031,240,2,8,160,152,8,0.043216,0.369494
256,127,192,2,6,137,111,8,0.043641,0.000000
256,127,192,2,7,138,105,13,0.044737,0.146794
256,127,192,2,8,136,110,10,0.043030,0.110936
256,127,192,2,9,140,104,12,0.046218,0.037552
320,1031,240,2,9,159,151,10,0.042743,0.484066
200,13,100,2,0,92,17,91,0.150879,0.000000
200,13,100,2,1,92,17,91,0.150879,0.000000
200,13,100,2,2,99,3,98,0.854983,0.000000
200,13,100,2,3,98,4,98,0.638047,0.012761
200,13,100,2,4,99,3,98,0.854983,0.000000
200,13,100,2,5,66,69,65,0.037173,0.000000
200,13,100,2,6,74,53,73,0.048395,0.000000
200,13,100,2,7,85,31,84,0.082740,0.000000
200,13,100,2,8,99,2,99,1.276094,0.012761
200,13,100,2,9,66,68,66,0.037532,0.012761
200,13,150,2,0,130,40,30,0.063489,0.025396
200,13,150,2,1,127,47,26,0.054573,0.000000
200,13,150,2,2,137,26,37,0.097675,0.025396
200,13,150,2,3,140,20,40,0.126978,0.025396
200,13,150,2,4,130,41,29,0.062560,0.000000
200,13,150,2,5,130,40,30,0.063489,0.025396
200,13,150,2,6,132,36,32,0.070543,0.025396
200,13,150,2,7,135,31,34,0.082740,0.000000
200,13,150,2,8,133,35,32,0.073284,0.000000
200,13,150,2,9,140,20,40,0.126978,0.025396
200,31,100,2,1,59,82,59,0.041670,0.017085
200,31,100,2,2,59,83,58,0.041373,0.000000
200,31,100,2,0,69,63,68,0.054508,0.000000
200,31,100,2,3,76,48,76,0.071185,0.017085
200,31,100,2,5,74,52,74,0.065710,0.017085
200,31,100,2,4,65,70,65,0.048813,0.017085
200,31,100,2,6,71,59,70,0.058203,0.000000
256,1031,192,2,0,116,130,10,0.045242,1.056825
256,1031,192,2,2,116,134,6,0.045086,0.896785
256,1031,192,2,1,116,130,10,0.045242,1.056825
200,31,100,2,7,67,67,66,0.051254,0.000000
200,31,100,2,8,62,77,61,0.044597,0.000000
200,31,100,2,9,58,84,58,0.040677,0.017085
200,31,150,2,1,111,78,11,0.043590,0.034000
256,1031,192,2,4,119,125,12,0.047365,1.017615
200,31,150,2,0,109,83,8,0.041373,0.000000
256,1031,128,2,2,51,155,50,0.044763,0.000016
200,31,150,2,2,110,81,9,0.042395,0.000000
256,1031,192,2,5,115,131,10,0.044601,1.095519
256,1031,192,2,3,114,142,0,0.043736,0.727792
200,31,150,2,3,112,77,11,0.044597,0.000000
256,1031,128,2,3,53,150,53,0.046075,0.026979
256,1031,128,2,5,73,111,72,0.062506,0.000151
200,31,150,2,5,112,76,12,0.044737,0.034000
256,1031,128,2,0,88,80,88,0.086391,0.026995
256,1031,128,2,7,86,85,85,0.081623,0.000348
256,1031,192,2,7,116,133,7,0.045118,0.937606
256,1031,192,2,9,114,142,0,0.043736,0.727792
200,31,150,2,4,111,79,10,0.043468,0.000000
200,31,150,2,7,116,68,16,0.050000,0.034000
256,1031,192,2,6,113,139,4,0.043170,0.937606
256,1031,128,2,1,49,158,49,0.043742,0.026971
200,31,150,2,6,111,78,11,0.043590,0.034000
200,31,150,2,8,113,74,13,0.045946,0.034000
200,31,150,2,9,111,78,11,0.043590,0.034000
256,1031,128,2,6,58,141,57,0.049207,0.000134
256,1031,128,2,4,54,149,53,0.046566,0.000001
256,1031,192,2,8,112,134,10,0.042759,1.208604
256,1031,128,2,9,49,159,48,0.043636,0.000081
256,1031,128,2,8,54,149,53,0.046560,0.000869
200,127,100,2,3,55,91,54,0.053233,0.000000
200,127,100,2,2,52,97,51,0.049940,0.000000
200,127,150,2,1,96,98,6,0.044532,0.480055
200,127,100,2,0,75,50,75,0.096402,0.024100
200,127,100,2,1,56,89,55,0.054429,0.000000
200,127,150,2,2,94,99,7,0.042922,0.594900
200,127,100,2,4,66,69,65,0.070206,0.000000
200,127,150,2,5,98,92,10,0.046597,0.557296
200,127,150,2,3,93,107,0,0.041919,0.358829
200,127,150,2,7,95,101,4,0.043602,0.440381
200,127,150,2,8,95,100,5,0.043641,0.480055
200,127,150,2,6,93,99,8,0.042182,0.668164
200,127,150,2,0,93,101,6,0.042072,0.594900
200,127,150,2,4,95,96,9,0.043879,0.631850
200,127,100,2,5,90,20,90,0.241004,0.024100
200,127,150,2,9,95,105,0,0.043524,0.274199
200,127,100,2,9,81,38,81,0.126844,0.024100
200,127,100,2,6,48,105,47,0.046135,0.000000
200,127,100,2,8,66,68,66,0.070884,0.024100
200,127,100,2,7,48,104,48,0.046347,0.024100
160,13,80,2,0,65,30,65,0.084967,0.015931
160,13,80,2,2,79,2,79,1.274509,0.015931
160,13,80,2,1,67,26,67,0.098039,0.015931
160,13,80,2,3,79,2,79,1.274509,0.015931
160,13,80,2,4,56,49,55,0.052346,0.000000
160,13,80,2,6,69,22,69,0.115864,0.015931
160,13,80,2,5,50,60,50,0.042484,0.015931
160,13,80,2,7,63,34,63,0.074971,0.015931
160,13,80,2,8,79,2,79,1.274509,0.015931
160,13,80,2,9,63,35,62,0.073284,0.000000
160,13,120,2,0,90,61,9,0.042048,0.000000
160,13,120,2,1,91,59,10,0.043474,0.000000
160,13,120,2,2,91,59,10,0.043474,0.000000
160,13,120,2,3,89,63,8,0.040713,0.000000
160,13,120,2,4,90,61,9,0.042048,0.000000
160,13,120,2,5,90,61,9,0.042048,0.000000
160,13,120,2,7,93,55,12,0.046635,0.000000
160,13,120,2,6,89,63,8,0.040713,0.000000
160,13,120,2,9,92,57,11,0.044999,0.000000
160,13,120,2,8,90,61,9,0.042048,0.000000
160,31,80,2,1,41,78,41,0.043752,0.021329
160,31,80,2,0,70,20,70,0.170633,0.021329
160,31,80,2,2,69,23,68,0.149304,0.000000
200,1031,150,2,4,78,117,5,0.046329,1.517750
200,1031,150,2,3,76,120,4,0.044821,1.559769
200,1031,150,2,0,74,126,0,0.043359,1.475068
160,31,80,2,3,73,14,73,0.243761,0.021329
200,1031,150,2,5,74,126,0,0.043359,1.475068
200,1031,150,2,6,73,123,4,0.042734,1.682008
160,31,80,2,4,41,79,40,0.043468,0.000000
200,1031,150,2,2,72,121,7,0.042163,1.836605
160,31,120,2,0,78,78,4,0.040483,0.276298
160,31,80,2,5,72,17,71,0.201999,0.000000
200,1031,150,2,1,75,118,7,0.044210,1.721529
200,1031,150,2,7,74,121,5,0.043440,1.682008
160,31,80,2,6,70,20,70,0.170633,0.021329
160,31,80,2,7,48,65,47,0.052831,0.000000
160,31,80,2,8,46,68,46,0.050186,0.021329
160,31,80,2,9,40,80,40,0.042658,0.021329
200,1031,150,2,8,71,129,0,0.041373,1.601143
160,31,120,2,1,78,73,9,0.040905,0.447911
160,31,120,2,2,81,72,7,0.043857,0.276298
200,1031,150,2,9,73,127,0,0.042681,1.517750
160,31,120,2,4,82,71,7,0.044992,0.239581
160,31,120,2,3,82,70,8,0.045110,0.276298
160,31,120,2,5,80,80,0,0.042395,0.042395
160,31,120,2,6,81,76,3,0.043551,0.124120
160,31,120,2,8,80,75,5,0.042592,0.239581
160,31,120,2,7,79,81,0,0.041361,0.083756
200,1031,100,2,1,27,147,26,0.047199,0.000000
160,31,120,2,9,79,80,1,0.041373,0.124120
200,1031,100,2,0,25,150,25,0.046025,0.034519
160,127,120,2,0,70,78,12,0.048237,1.081712
160,127,80,2,1,43,75,42,0.064589,0.000000
160,127,120,2,2,66,88,6,0.043602,1.007207
160,127,120,2,1,70,81,9,0.047844,0.968837
160,127,120,2,3,67,83,10,0.044895,1.117889
160,127,80,2,0,28,104,28,0.046289,0.030088
160,127,80,2,4,43,75,42,0.064589,0.000000
160,127,80,2,8,46,68,46,0.070796,0.030088
160,127,120,2,4,65,87,8,0.042831,1.117889
160,127,80,2,2,26,109,25,0.044442,0.000000
160,127,80,2,6,37,87,36,0.055680,0.000000
160,127,80,2,7,30,101,29,0.047962,0.000000
200,1031,100,2,2,27,146,27,0.047286,0.034519
160,127,80,2,3,25,110,25,0.043765,0.030088
160,127,80,2,5,27,107,26,0.045273,0.000000
160,127,80,2,9,39,83,38,0.058364,0.000000
160,127,120,2,5,68,85,7,0.045592,0.968837
200,1031,100,2,6,31,139,30,0.049916,0.000000
160,127,120,2,6,66,86,8,0.043750,1.081712
200,1031,100,2,5,28,144,28,0.047943,0.034519
200,1031,100,2,8,28,144,28,0.047943,0.034519
200,1031,100,2,3,23,154,23,0.044830,0.034519
200,1031,100,2,4,22,157,21,0.044193,0.000000
200,1031,100,2,7,23,154,23,0.044830,0.034519
160,127,120,2,7,66,90,4,0.043494,0.929692
200,1031,100,2,9,29,142,29,0.048618,0.034519
160,127,120,2,8,66,86,8,0.043750,1.081712
160,127,120,2,9,65,87,8,0.042831,1.117889
120,13,60,2,0,51,19,50,0.134997,0.000000
120,13,60,2,1,37,46,37,0.055299,0.021198
120,13,60,2,2,40,40,40,0.063594,0.021198
120,13,60,2,3,58,4,58,0.635938,0.021198
120,13,60,2,4,49,23,48,0.111520,0.000000
120,13,60,2,6,30,61,29,0.042048,0.000000
120,13,60,2,5,35,50,35,0.050875,0.021198
120,13,60,2,7,54,12,54,0.211979,0.021198
120,13,90,2,0,60,52,8,0.042892,0.334559
120,13,60,2,8,49,23,48,0.111520,0.000000
120,13,60,2,9,57,7,56,0.366421,0.000000
120,13,90,2,1,58,59,3,0.039522,0.233177
120,13,90,2,4,62,56,2,0.045052,0.042048
120,13,90,2,3,60,60,0,0.042048,0.042048
120,13,90,2,2,60,57,3,0.042187,0.160309
120,13,90,2,6,59,55,6,0.041149,0.301759
120,13,90,2,5,58,55,7,0.039973,0.366421
120,13,90,2,8,59,58,3,0.040821,0.197304
120,13,90,2,7,59,61,0,0.040692,0.082740
120,13,90,2,9,60,60,0,0.042048,0.042048
160,1031,120,2,0,50,103,7,0.045669,2.234363
120,31,60,2,0,33,54,33,0.063067,0.028380
160,1031,120,2,1,47,107,6,0.043229,2.312761
120,31,60,2,1,32,57,31,0.060245,0.000000
120,31,60,2,2,30,61,29,0.056295,0.000000
160,1031,120,2,2,47,113,0,0.043088,2.069313
160,1031,120,2,3,48,105,7,0.044053,2.312761
160,1031,120,2,5,47,102,11,0.043534,2.497782
160,1031,120,2,8,50,99,11,0.045957,2.388590
160,1031,120,2,4,46,106,8,0.042573,2.425579
120,31,60,2,3,32,57,31,0.060245,0.000000
160,1031,120,2,7,46,105,9,0.042632,2.461972
120,31,60,2,4,30,61,29,0.056295,0.000000
160,1031,120,2,9,45,107,8,0.041835,2.461972
120,31,90,2,0,49,65,6,0.040639,0.792459
120,31,60,2,5,25,71,24,0.048366,0.000000
120,31,60,2,7,37,46,37,0.074035,0.028380
120,31,90,2,1,50,65,5,0.041708,0.722945
160,1031,120,2,6,48,106,6,0.044004,2.273892
120,31,90,2,3,49,67,4,0.040463,0.722945
120,31,90,2,4,49,71,0,0.040305,0.572331
120,31,60,2,8,21,79,20,0.043468,0.000000
120,31,90,2,2,49,66,5,0.040543,0.758153
120,31,90,2,5,50,61,9,0.042221,0.858497
120,31,60,2,6,21,78,21,0.043662,0.028380
120,31,60,2,9,29,63,28,0.054508,0.000000
120,31,90,2,7,49,66,5,0.040543,0.758153
120,31,90,2,6,49,65,6,0.040639,0.792459
120,31,90,2,9,50,67,3,0.041557,0.649673
120,31,90,2,8,52,60,8,0.044597,0.758153
120,127,90,2,0,37,78,5,0.041869,1.578443
160,1031,80,2,0,5,150,5,0.045968,0.043095
120,127,90,2,2,40,70,10,0.045628,1.650218
120,127,90,2,1,38,79,3,0.042781,1.464522
160,1031,80,2,2,2,156,2,0.044200,0.043095
120,127,90,2,3,37,75,8,0.042123,1.684935
160,1031,80,2,1,0,147,13,0.043402,0.558253
160,1031,80,2,4,3,144,13,0.045083,0.446322
120,127,60,2,7,5,109,6,0.043714,0.079413
120,127,60,2,2,5,105,10,0.043938,0.230676
160,1031,80,2,5,1,149,10,0.043827,0.408134
120,127,60,2,5,7,106,7,0.045322,0.040035
120,127,60,2,3,3,109,8,0.042326,0.230676
120,127,60,2,4,4,112,4,0.042894,0.040035
120,127,60,2,0,3,109,8,0.042326,0.230676
120,127,60,2,1,2,116,2,0.041415,0.040035
160,1031,80,2,3,3,151,6,0.044828,0.169226
120,127,60,2,9,7,106,7,0.045322,0.040035
120,127,60,2,6,3,109,8,0.042326,0.230676
120,127,60,2,8,3,109,8,0.042326,0.230676
160,1031,80,2,6,1,146,13,0.043951,0.521374
120,127,90,2,6,39,70,11,0.044647,1.718905
120,127,90,2,8,40,70,10,0.045628,1.650218
160,1031,80,2,8,1,147,12,0.043906,0.484066
120,127,90,2,9,38,80,2,0.042743,1.424761
120,127,90,2,7,37,75,8,0.042123,1.684935
120,127,90,2,4,40,79,1,0.044867,1.299660
160,1031,80,2,7,2,149,9,0.044348,0.330394
120,127,90,2,5,35,81,4,0.039870,1.614729
160,1031,80,2,9,2,151,7,0.044288,0.250781
120,1031,90,2,0,27,84,9,0.048116,2.896565
120,1031,90,2,1,25,87,8,0.046010,2.935428
120,1031,90,2,4,21,99,0,0.042050,2.775314
120,1031,90,2,2,22,92,6,0.043095,2.973550
120,1031,90,2,3,22,89,9,0.043310,3.083682
120,1031,90,2,6,21,92,7,0.042289,3.047658
120,1031,90,2,5,19,101,0,0.040409,2.856941
120,1031,90,2,7,23,91,6,0.043987,2.935428
120,1031,90,2,9,21,89,10,0.042523,3.153766
120,1031,90,2,8,24,93,3,0.044763,2.775314
120,1031,60,2,0,0,77,43,0.065932,1.861491
120,1031,60,2,7,0,72,48,0.068425,2.011692
120,1031,60,2,4,0,72,48,0.068425,2.011692
120,1031,60,2,1,0,69,51,0.070155,2.097621
120,1031,60,2,9,0,77,43,0.065932,1.861491
120,1031,60,2,6,0,70,50,0.069557,2.069313
120,1031,60,2,2,0,74,46,0.067373,1.952691
120,1031,60,2,8,0,72,48,0.068425,2.011692
120,1031,60,2,3,0,74,46,0.067373,1.952691
120,1031,60,2,5,0,71,49,0.068980,2.040672
