n,q,t,beta,seed,model,alpha,plateau,fitted_plateau,fitted_slope_len,delta,true_k,model_k,true_cost,model_cost,cost_error,bound_holds,true_d,model_d,seconds
320,127,160,40,3,GSA,0.499981790686845,17,-1,-1,24.633871454688602,152,155,405.72769617772656,381.5138484924531,24.213847685273436,True,17,11,328.487
320,127,160,40,3,TGSA,0.499981790686845,17,-1,-1,40.461814865509666,152,156,405.72769617772656,366.1555648262133,39.572131351513235,True,17,11,328.487
320,127,160,40,3,ZGSA,0.499981790686845,17,107,106,68.01390121881929,152,157,405.72769617772656,376.5956565617592,29.132039615967358,True,17,18,328.487
320,127,240,40,9,GSA,0.750000000001064,154,-1,-1,44.71392035205092,123,152,269.4171387665943,243.41491509268096,26.002223673913335,True,34,19,181.272
320,127,240,40,9,TGSA,0.750000000001064,154,-1,-1,149.76221269365385,123,156,269.4171387665943,366.1555648262163,96.73842605962199,True,34,11,181.272
320,127,240,40,9,ZGSA,0.750000000001064,154,154,166,0.866154807230501,123,123,269.4171387665943,269.27871639240556,0.13842237418873538,True,34,34,181.272
320,127,160,40,4,GSA,0.4999940017559936,18,-1,-1,25.968316138247857,154,155,407.9793190986849,382.05161467304504,25.927704425639888,True,18,11,322.722
320,127,160,40,4,TGSA,0.4999940017559936,18,-1,-1,42.15370074461862,154,156,407.9793190986849,366.1555648262165,41.82375427246842,True,18,11,322.722
320,127,160,40,4,ZGSA,0.4999940017559936,18,158,4,69.45305602991795,154,160,407.9793190986849,437.98705447516085,30.00773537647592,True,18,18,322.722
320,127,240,40,8,GSA,0.749999999997108,155,-1,-1,45.23872949944659,121,152,270.5790986665485,244.12489212309316,26.454206543455314,True,34,19,209.609
320,127,240,40,8,TGSA,0.749999999997108,155,-1,-1,149.76221269154496,121,156,270.5790986665485,366.1555648262156,95.57646615966712,True,34,11,209.609
320,127,240,40,8,ZGSA,0.749999999997108,155,155,160,0.7194229709973001,121,122,270.5790986665485,270.15297895283123,0.42611971371724167,True,34,34,209.609
320,127,160,40,8,GSA,0.5000041562623242,15,-1,-1,23.081079509772607,157,155,409.9037400931357,386.88261418663285,23.021125906502846,True,16,11,284.168
320,127,160,40,8,TGSA,0.5000041562623242,15,-1,-1,44.10041187948161,157,156,409.9037400931357,366.1555648262139,43.748175266921805,True,16,11,284.168
320,127,160,40,8,ZGSA,0.5000041562623242,15,84,153,68.7901203590383,157,156,409.9037400931357,349.26532437042806,60.638415722707634,True,16,18,284.168
320,127,160,40,7,GSA,0.5000154307520516,17,-1,-1,24.96214044862942,153,155,408.01415097381346,383.12996752197,24.884183451843455,True,17,11,333.145
320,127,160,40,7,TGSA,0.5000154307520516,17,-1,-1,42.34005678545179,153,156,408.01415097381346,366.15556482621275,41.858586147600704,True,17,11,333.145
320,127,160,40,7,ZGSA,0.5000154307520516,17,78,165,67.7072113453653,153,156,408.01415097381346,342.0107569062741,66.00339406753938,True,17,18,333.145
256,13,128,40,0,GSA,0.49999999996043354,39,-1,-1,28.29819811005725,113,122,221.72892790452016,195.10992690130945,26.619001003210712,True,26,15,105.868
256,13,128,40,0,TGSA,0.49999999996043354,39,-1,-1,53.27974853697706,113,125,221.72892790452016,240.22488274089915,18.495954836378985,True,26,11,105.868
256,13,128,40,0,ZGSA,0.49999999996043354,39,86,84,56.34895647665675,113,124,221.72892790452016,179.9868617207278,41.74206618379236,True,26,26,105.868
