rank,instances_total,instances_complete,grid_complete,measured_pairs,predicted_bottleneck_passed,exact_peak_matches,mean_absolute_peak_gap,median_absolute_peak_gap,mean_peak_offset,minimum_peak_offset,maximum_peak_offset,mean_log_ratio,sd_log_ratio,sweep_mean_log_ratio_sd,sweep_mean_log_ratio_se,q05_log_ratio,median_log_ratio,q95_log_ratio,geometric_mean_ratio,terminal_statuses
40,72,72,True,2880,72,72,0.0,0.0,0.0,0,0,0.05918896554896883,0.4261911905445083,0.1326299728118378,0.015630592193972993,-0.10193079206440725,7.360901360531358e-05,0.33925458936570174,1.060975709656121,"{""ok"": 72}"
44,24,21,False,924,21,21,0.0,0,0.0,0,0,0.08046604243780496,0.4376678385658643,0.13389719277050907,0.02921876291490246,-0.03185844924837042,0.0003637215800154081,0.5029958889859067,1.0837920430816652,"{""ok"": 21, ""solution_cap"": 1, ""time_cap"": 2}"
